ldap-c-d05.ucl.ac.uk.ldaps	www-webdocs-c-d04.ucl.ac.uk	141
ldap-c-d05.ucl.ac.uk.ldaps	www-webdocs-d-d05.ucl.ac.uk	5
ldap-c-d05.ucl.ac.uk.ldaps	admin10-d04.ext.michael.ucl.ac.uk	53
ldap-c-d05.ucl.ac.uk.ldaps	util01.ext.michael.ucl.ac.uk	17
ldap-c-d05.ucl.ac.uk.ldaps	util02.ext.michael.ucl.ac.uk	10101
ldap-c-d05.ucl.ac.uk.ldaps	admin09-d04.michael.ucl.ac.uk	63
ldap-c-d05.ucl.ac.uk.ldaps	util01.ext.myriad.ucl.ac.uk	38
ldap-c-d05.ucl.ac.uk.ldaps	foghorn-d04.nwg.ucl.ac.uk	5
ldap-c-d05.ucl.ac.uk.ldaps	aristotle01-d04.rc.ucl.ac.uk	74
ldap-c-d05.ucl.ac.uk.ldaps	aristotle02-d04.rc.ucl.ac.uk	29
ldap-c-d05.ucl.ac.uk.ldaps	aristotle03-d04.rc.ucl.ac.uk	22
ldap-c-d05.ucl.ac.uk.ldaps	aristotle04-d04.rc.ucl.ac.uk	19
ldap-c-d05.ucl.ac.uk.ldaps	transfer.legion.rc.ucl.ac.uk	47
ldap-c-d05.ucl.ac.uk.ldaps	login10-d04.michael.rc.ucl.ac.uk	73
ldap-c-d05.ucl.ac.uk.ldaps	login11-d04.michael.rc.ucl.ac.uk	81
ldap-c-d05.ucl.ac.uk.ldaps	login12-d05.myriad.rc.ucl.ac.uk	62
ldap-c-d05.ucl.ac.uk.ldaps	login13-d05.myriad.rc.ucl.ac.uk	63
ldap-c-d05.ucl.ac.uk.ldaps	login03-d05.ext.thomas.ucl.ac.uk	21
ldap-c-d05.ucl.ac.uk.ldaps	login04-d05.ext.thomas.ucl.ac.uk	18
ldap-c-d05.ucl.ac.uk.ldaps	util01.ext.thomas.ucl.ac.uk	21
ldap-c-d05.ucl.ac.uk.ldaps	util02.ext.thomas.ucl.ac.uk	33
ldap-c-d05.ucl.ac.uk.5666	nagios-b-d04.ucl-0.ucl.ac.uk	1559
ldap-c-d05.ucl.ac.uk.ldaps	nagios-b-d04.ucl-0.ucl.ac.uk	6
ldap-c-d05.ucl.ac.uk.ldaps	tomcat-uat.ucl-0.ucl.ac.uk	1
